pid,psr,trg,yds,comp
652369,BR-1100,AB-3500,9,1
652371,BR-1100,HM-0200,14,1
652376,BR-1100,HM-0200,10,1
652378,TB-2300,JE-0100,13,1
652379,TB-2300,DL-1700,12,1
652380,TB-2300,DL-1700,13,1
652381,TB-2300,RG-2200,0,0
652382,TB-2300,DA-0900,0,0
652387,BR-1100,AB-3500,10,1
652389,BR-1100,AB-3500,3,1
652391,BR-1100,HM-0200,17,1
652397,TB-2300,AD-1450,9,1
652398,TB-2300,JE-0100,9,1
652401,TB-2300,DL-1700,7,1
652402,TB-2300,JE-0100,8,1
652404,TB-2300,JE-0100,13,1
652405,TB-2300,RG-2200,19,1
652406,TB-2300,RG-2200,16,1
652410,BR-1100,HM-0200,0,0
652411,BR-1100,DH-2800,43,1
652414,BR-1100,AB-3500,0,0
652416,TB-2300,JE-0100,14,1
652418,TB-2300,DA-0900,18,1
652419,TB-2300,BB-2250,12,1
652423,TB-2300,JE-0100,3,1
652424,TB-2300,RG-2200,6,1
652427,BR-1100,AB-3500,5,1
652429,BR-1100,HM-0200,9,1
652430,BR-1100,AB-3500,37,1
652432,BR-1100,DW-3600,5,1
652433,BR-1100,MW-1250,0,0
652434,BR-1100,DH-2800,4,1
652436,BR-1100,DH-2800,0,0
652437,BR-1100,DH-2800,0,0
652442,TB-2300,JE-0100,10,1
652445,TB-2300,JE-0100,10,1
652448,TB-2300,DA-0900,6,1
652451,TB-2300,SC-0400,1,1
652455,BR-1100,AB-3500,33,1
652464,TB-2300,JE-0100,-5,1
652465,TB-2300,JE-0100,12,1
652471,BR-1100,AB-3500,12,1
652472,BR-1100,MW-1250,26,1
652474,BR-1100,HM-0200,6,1
652476,BR-1100,HM-0200,3,1
652478,BR-1100,HM-0200,0,0
652484,TB-2300,RG-2200,52,1
652485,TB-2300,JE-0100,0,0
652487,TB-2300,DL-1700,19,1
652489,TB-2300,RG-2200,0,0
652490,TB-2300,RG-2200,1,1
652494,BR-1100,AB-3500,0,0
652495,BR-1100,MW-1250,0,0
652498,TB-2300,RG-2200,0,0
652499,TB-2300,BB-2250,0,0
652502,BR-1100,MW-1250,18,1
652503,BR-1100,DH-2800,0,0
652507,TB-2300,JE-0100,10,1
652510,TB-2300,DL-1700,0,0
652512,BR-1100,HM-0200,0,0
652513,BR-1100,DH-2800,9,1
652514,BR-1100,HM-0200,7,1
652515,BR-1100,MW-1250,0,0
652516,BR-1100,DH-2800,2,1
652517,BR-1100,AB-3500,13,1
652520,BR-1100,HM-0200,18,1
652521,BR-1100,MW-1250,0,0
652522,BR-1100,TM-3475,16,1
652523,BR-1100,MW-1250,11,1
652524,BR-1100,AB-3500,11,1
652530,JC-6200,ER-0500,8,1
652532,JC-6200,MB-1800,6,1
652533,JC-6200,ZM-0250,0,0
652534,JC-6200,AJ-0430,25,1
652537,JC-6200,MF-1300,5,1
652543,AR-1300,DA-0212,0,0
652546,JC-6200,MF-1300,9,1
652548,JC-6200,ER-0500,0,0
652551,AR-1300,RR-1050,20,1
652553,AR-1300,EL-0010,9,1
652556,AR-1300,RR-1050,5,1
652558,AR-1300,DA-0212,0,0
652559,AR-1300,DA-0212,7,1
652560,AR-1300,JJ-4200,13,1
652569,JC-6200,JR-2800,0,0
652570,JC-6200,MB-1800,4,1
652573,JC-6200,AJ-0430,0,0
652575,JC-6200,MF-1300,0,0
652578,JC-6200,MF-1300,0,0
652585,AR-1300,DA-0212,0,0
652586,AR-1300,JJ-4200,3,1
652587,AR-1300,RC-1500,4,1
652588,AR-1300,JJ-4200,34,1
652589,AR-1300,DA-0212,21,1
652594,AR-1300,RC-1500,10,1
652600,JC-6200,MF-1300,5,1
652601,JC-6200,ER-0500,0,0
652603,JC-6200,AJ-0430,0,0
652605,JC-6200,MW-3250,9,1
652606,JC-6200,,0,0
652607,JC-6200,AJ-0430,0,0
652613,AR-1300,RR-1050,2,1
652615,AR-1300,DA-0212,25,1
652616,AR-1300,EL-0010,5,1
652617,AR-1300,JJ-4200,1,1
652623,JC-6200,MB-1800,12,1
652627,JC-6200,AJ-0430,12,1
