pid,bc,yds
652368,DW-3600,18
652370,DW-3600,4
652372,DW-3600,11
652375,WJ-0300,6
652385,DW-3600,6
652386,DW-3600,-1
652393,DL-1700,8
652394,DL-1700,1
652395,TB-2300,1
652399,JE-0100,9
652400,BB-2250,-3
652403,DL-1700,3
652409,DW-3600,2
652412,DW-3600,6
652413,DW-3600,1
652417,DL-1700,0
652420,DL-1700,8
652421,DL-1700,1
652422,TB-2300,2
652431,DW-3600,2
652435,DW-3600,5
652440,TB-2300,-2
652443,DL-1700,4
652444,BB-2250,1
652446,DL-1700,11
652447,DL-1700,9
652450,BB-2250,0
652454,DW-3600,28
652456,DW-3600,7
652457,DW-3600,10
652458,DW-3600,1
652459,WJ-0300,0
652460,WJ-0300,1
652463,DL-1700,13
652468,DW-3600,12
652469,DW-3600,5
652470,DW-3600,-1
652473,DW-3600,5
652475,DW-3600,0
652479,WJ-0300,0
652481,DW-3600,-1
652486,DL-1700,5
652488,BB-2250,0
652493,DW-3600,7
652497,DL-1700,-2
652504,DL-1700,4
652506,DL-1700,1
652508,BB-2250,3
652509,DL-1700,3
652528,MF-1300,3
652529,MF-1300,22
652531,JR-2800,4
652535,JC-6200,4
652541,AR-1300,2
652542,EL-0010,5
652545,JL-0280,1
652547,MF-1300,1
652552,EL-0010,1
652554,EL-0010,16
652555,EL-0010,4
652557,AR-1300,2
652563,MF-1300,2
652564,MF-1300,5
652565,MF-1300,8
652566,MF-1300,6
652568,MF-1300,8
652572,MF-1300,23
652574,MF-1300,5
652577,MF-1300,1
652580,MF-1300,3
652581,MF-1300,1
652584,EL-0010,7
652590,EL-0010,3
652592,EL-0010,-1
652597,JC-6200,4
652598,MF-1300,3
652599,MF-1300,8
652602,JC-6200,12
652604,MF-1300,6
652610,AR-1300,-1
652612,RR-1050,11
652614,EL-0010,15
652620,MF-1300,2
652621,MF-1300,2
652622,MF-1300,-1
652624,MF-1300,20
652625,JR-2800,5
652626,JR-2800,2
652629,MF-1300,2
652631,JR-2800,5
652634,EL-0010,8
652636,EL-0010,4
652639,EL-0010,2
652640,AR-1300,4
652641,AR-1300,12
652643,JS-6200,-1
652645,JS-6200,3
652646,AR-1300,15
652647,EL-0010,1
652648,EL-0010,5
652649,EL-0010,5
652650,AR-1300,1
652655,JC-6200,11
652656,MF-1300,3
652665,EL-0010,1
652668,MF-1300,8
652670,MF-1300,0
652673,EL-0010,1
652675,EL-0010,5
652676,EL-0010,1
652678,EL-0010,2
652689,AR-1300,0
652692,JC-2300,4
652695,AS-1600,4
652696,JC-2300,2
652701,JC-2300,3
652705,AB-1975,3
652707,AB-1975,11
652712,JC-2300,-3
652715,AS-1600,5
652718,KD-0450,4
652723,AB-1975,2
652725,JG-3850,21
652728,JG-3850,-2
652733,DT-0850,9
652735,JC-2300,2
652737,KD-0450,10
652743,CP-1950,2
652744,CP-1950,1
652748,JC-2300,-1
652759,JG-3850,1
652763,KD-0450,2
652764,KD-0450,-3
652768,AB-1975,4
652770,JG-3850,3
652774,JG-3850,4
652779,AS-1600,-1
652783,AB-1975,7
652786,JC-2300,0
652788,JC-2300,0
652790,AB-1975,2
652795,JC-2300,4
652797,AS-1600,3
652800,AS-1600,3
652803,CP-1950,13
652805,CP-1950,4
652808,AB-1975,0
652809,JC-2300,13
652810,JC-2300,11
652817,CP-1950,2
652822,JC-2300,1
652823,JC-2300,11
652824,KD-0450,-1
652826,AS-1600,1
652831,AB-1975,9
652832,AB-1975,4
652835,JG-3850,1
652837,JC-2300,3
652850,KD-0450,4
652853,JC-2300,-1
652854,AS-1600,2
652855,JC-2300,8
652860,RM-0300,6
652869,AS-1600,-1
652870,AS-1600,-1
652872,CI-0300,3
652873,CI-0300,4
652875,CI-0300,0
652880,IC-0300,1
652881,JM-2900,9
652882,IC-0300,1
652885,IC-0300,1
652886,IC-0300,8
652887,JM-2900,1
652891,SD-0800,4
652893,IC-0300,3
652897,JM-2900,13
652898,CI-0300,11
652899,CI-0300,2
652900,CI-0300,1
652902,CI-0300,1
652903,TB-1720,0
652904,IC-0300,-3
652906,DJ-1850,6
652907,DJ-1850,0
652919,CI-0300,10
652922,IC-0300,-2
652923,JM-0850,6
652925,DJ-1850,4
652928,BP-1200,3
652929,RF-0500,0
652932,IC-0300,0
652935,IC-0300,4
652938,JM-0850,3
652948,BP-1200,7
652952,IC-0300,8
652955,DJ-1850,8
652956,DJ-1850,2
652959,IC-0300,0
652961,JM-0850,8
652963,CI-0300,5
652964,CI-0300,3
652966,CI-0300,2
652967,CI-0300,0
652972,IC-0300,-1
652975,CI-0300,4
652978,CI-0300,4
652979,CI-0300,19
652980,BP-1200,9
652981,BP-1200,2
652982,BP-1200,3
652983,BP-1200,2
652987,DJ-1850,0
652992,DJ-1850,2
652995,CI-0300,3
652996,CI-0300,12
652997,CI-0300,1
652998,CI-0300,3
653003,JM-0850,14
653006,CI-0300,3
653007,BP-1200,-3
653014,JM-0850,4
653019,BP-1200,1
653020,BP-1200,9
653021,BP-1200,5
653022,BP-1200,21
653023,BP-1200,3
653024,TB-1720,2
653025,RF-0500,-1
653027,FG-0200,8
653030,FG-0200,3
653033,FG-0200,2
653037,LM-1000,-6
653039,LM-1000,-1
653041,TT-0500,1
653048,LM-1000,4
653049,PH-0400,9
653060,LM-1000,1
653063,LM-1000,-3
653076,LM-1000,8
653077,LM-1000,4
653078,AD-1300,-4
653080,TT-0500,8
653083,FG-0200,0
653086,JR-2775,2
653090,FG-0200,9
653091,FG-0200,4
653097,TT-0500,-2
653098,TT-0500,31
653100,TT-0500,5
653101,KW-1150,26
653104,AL-1100,-1
653109,LM-1000,-1
653111,LM-1000,6
653112,LM-1000,7
653113,KW-1150,5
653114,AD-1300,4
653115,LM-1000,5
653116,AD-1300,1
653119,FG-0200,4
653123,TV-0150,2
653124,AL-1100,1
653125,FG-0200,1
653129,JR-2775,7
653130,JR-2775,1
653135,JR-2775,1
653140,LM-1000,1
653143,TT-0500,2
653151,KW-1150,14
653155,LM-1000,2
653156,LM-1000,-3
653165,AL-1100,11
653171,LM-1000,0
653172,KW-1150,6
653173,LM-1000,16
653174,KW-1150,5
653175,KW-1150,-1
653176,LM-1000,1
653179,AL-1100,9
653184,TT-0500,-2
653185,TT-0500,-1
653186,TT-0500,-1
653188,AM-2850,5
653191,AM-2850,6
653194,AM-2850,9
653195,AM-2850,0
653197,AM-2850,10
653199,AM-2850,5
653200,CT-1220,2
653204,LM-1150,1
653205,LM-1150,0
653208,AM-2850,6
653211,MJ-2275,0
653214,AM-2850,4
653215,AM-2850,3
653216,CT-1220,2
653222,LM-1150,1
653225,AM-2850,0
653226,AM-2850,2
653232,DW-3125,0
653233,AM-2850,14
653234,AM-2850,4
653235,AM-2850,4
653237,MJ-2275,5
653238,MJ-2275,4
653239,MJ-2275,6
653240,MJ-2275,4
653241,JC-5680,2
653244,AM-2850,9
653246,AM-2850,4
653247,AM-2850,-3
653263,KC-2350,-1
653266,RT-0150,3
653272,AM-2850,-2
653277,LM-1150,7
653285,CT-1220,7
653288,AM-2850,6
653293,AM-2850,11
653296,LM-1150,12
653297,LM-1150,17
653300,JL-0215,14
653303,RT-0150,5
653310,AM-2850,2
653311,MJ-2275,9
653315,AM-2850,3
653319,KC-2350,0
653322,LM-1150,7
653323,LM-1150,2
653325,LM-1150,2
653331,AM-2850,7
653333,AM-2850,13
653334,AM-2850,-1
653338,LM-1150,-6
653340,LM-1150,1
653341,LM-1150,1
653342,LM-1150,8
653343,RT-0150,-1
653345,TY-0150,1
653346,TY-0150,3
653350,CN-0500,5
653353,JS-6700,22
653354,JS-6700,3
653355,JS-6700,8
653359,JS-6700,1
653366,TY-0150,4
653367,BB-2425,2
653369,JS-6700,1
653374,TY-0150,14
653376,TY-0150,11
653379,BB-2425,11
653381,TY-0150,3
653385,JS-6700,6
653386,CN-0500,3
653387,CN-0500,0
653389,DR-2250,6
653394,DR-2250,4
653395,BB-2425,1
653402,TY-0150,-2
653406,CN-0500,4
653410,JS-6700,7
653414,FW-0750,0
653416,CN-0500,3
653417,CN-0500,2
653425,BB-2425,12
653432,CN-0500,-1
653434,JS-6700,2
653437,JS-6700,4
653438,CN-0500,-5
653441,TY-0150,6
653442,TY-0150,-1
653448,DR-2250,5
653450,DR-2250,2
653451,DR-2250,2
653454,JS-6700,2
653457,JS-6700,2
653459,CN-0500,2
653463,TY-0150,1
653466,JS-6700,2
653473,TY-0150,12
653475,TY-0150,-1
653479,JS-6700,0
653481,JS-6700,2
653483,CN-0500,10
653484,FW-0750,2
653486,MT-1300,12
653488,CN-0500,4
653489,JS-6700,0
653490,CN-0500,1
653491,CN-0500,8
653495,JS-6700,2
653496,JS-6700,-2
653497,JS-6700,-6
653507,CN-0500,-1
653509,ML-2500,2
653511,ML-2500,10
653512,FJ-0100,5
653514,RW-3850,0
653517,DC-2850,2
653519,TR-0112,1
653521,ML-2500,-1
653524,BC-3070,-2
653526,NF-0250,1
653531,BC-3070,4
653536,IP-0050,-1
653538,TA-1050,16
653541,ML-2500,-2
653544,ML-2500,4
653546,RW-3850,7
653549,BC-3070,4
653550,BC-3070,3
653551,BC-3070,2
653557,ML-2500,1
653559,ML-2500,3
653562,TR-0112,4
653566,BC-3070,0
653573,FJ-0100,7
653577,RW-3850,3
653583,BC-3070,-2
653584,NF-0250,0
653585,ML-2500,5
653586,ML-2500,4
653587,ML-2500,12
653589,ML-2500,-1
653594,TA-1050,1
