pid,qtr,min,sec,dwn,yds,pts,player,type
652406,2,11,16,1,16,7,RG-2200,REC
652424,2,4,6,2,6,7,RG-2200,REC
652451,3,10,43,2,1,7,SC-0400,REC
652460,3,6,48,3,1,8,WJ-0300,RUSH
652490,4,9,24,3,1,7,RG-2200,REC
652524,4,0,7,1,11,7,AB-3500,REC
652560,1,0,50,3,13,7,JJ-4200,REC
652581,2,7,54,3,1,7,MF-1300,RUSH
652617,3,11,59,2,1,7,JJ-4200,REC
652652,4,10,32,2,5,7,RC-1500,REC
652678,4,1,59,1,2,7,EL-0010,RUSH
652686,4,0,42,4,24,7,MB-1800,REC
652702,1,10,27,2,10,7,TK-0150,REC
652719,1,4,39,1,42,7,TK-0150,REC
652729,1,0,51,2,4,6,DH-3950,REC
652756,2,5,1,1,7,7,JC-2300,REC
652847,4,4,16,2,8,8,DH-3950,REC
652909,2,11,8,3,54,7,TB-1060,REC
652919,2,9,46,1,10,7,CI-0300,RUSH
652949,2,0,49,1,15,7,ED-0200,REC
652968,3,7,56,3,1,7,BM-0300,REC
652998,4,10,38,2,3,7,CI-0300,RUSH
653064,1,0,9,2,51,7,PH-0400,REC
653101,2,0,26,2,26,7,KW-1150,RUSH
653116,3,9,38,2,1,7,AD-1300,RUSH
653137,3,0,57,4,2,8,DM-2775,REC
653168,4,6,0,3,6,6,DA-0850,REC
653249,2,1,54,3,4,7,JR-1150,REC
653260,2,0,32,2,3,7,RM-1500,REC
653312,4,10,38,4,69,7,JL-0215,PR
653418,2,1,56,1,7,7,JC-5400,REC
653429,2,0,18,2,1,6,RG-1812,REC
653445,3,9,8,1,30,7,JN-1750,INT
653527,1,4,45,4,57,7,TL-1025,PR
653538,2,15,0,1,16,7,TA-1050,RUSH
653599,3,6,18,1,1,7,NF-0250,RUSH
653605,3,4,49,4,75,7,TA-1050,PR
653627,4,12,8,3,7,8,JG-2900,REC
653646,4,4,46,1,8,7,CW-2300,FUM
653661,4,0,59,3,37,7,LK-0200,REC
653694,1,9,56,3,10,7,JB-6950,REC
653729,2,11,10,1,1,7,AE-0750,RUSH
653745,2,5,23,1,12,7,BC-1850,REC
653819,4,9,54,2,17,7,DF-0550,REC
653843,4,1,44,2,55,7,DJ-1325,REC
653860,1,10,53,3,24,7,AA-0025,RUSH
653891,2,12,37,3,31,7,GQ-0100,INT
653901,2,8,54,1,18,7,EE-0050,REC
653911,2,5,7,1,9,7,DW-4300,RUSH
653957,3,4,9,3,12,7,SJ-0600,REC
653972,4,11,53,1,13,7,LG-0750,REC
653994,4,2,37,1,1,7,DW-4300,RUSH
654003,4,1,9,2,21,7,TR-0370,REC
654013,1,13,22,1,52,7,KW-2550,REC
654018,1,11,58,3,26,7,CS-1250,INT
654032,1,6,56,1,12,7,BS-0650,REC
654046,2,15,0,3,5,7,AS-0550,REC
654068,2,3,53,3,4,7,HD-0300,REC
654080,2,0,52,3,1,7,DW-0500,REC
654101,3,8,6,1,1,7,BS-0650,RUSH
654134,4,9,30,4,41,7,AS-0550,REC
654182,1,7,21,4,3,7,JH-4025,RUSH
654232,2,2,26,1,2,7,JH-4025,RUSH
654244,2,0,12,3,13,7,TE-0300,REC
654275,3,3,45,2,8,6,TE-0300,REC
654306,4,8,0,1,11,7,MR-0500,REC
654322,4,2,19,1,9,6,MR-0500,REC
654413,3,14,13,3,24,7,JS-4300,INT
654449,3,0,22,3,51,7,AT-0100,INT
654559,2,1,12,2,57,7,DR-2800,FUM
654595,3,4,8,1,2,7,GE-0250,REC
654622,4,8,9,1,1,7,RJ-0800,RUSH
654630,4,5,11,1,1,7,JW-6000,REC
654652,4,0,13,3,11,7,TR-0800,ORCV
654710,2,10,50,2,4,7,JJ-4700,REC
654746,2,0,51,1,22,7,JJ-4700,REC
654760,3,13,20,2,8,7,DM-4300,RUSH
654786,3,3,46,2,5,7,DM-4300,REC
654811,4,8,42,1,1,7,RM-1200,RUSH
654913,2,0,55,2,10,7,CH-5000,RUSH
654968,4,9,44,1,17,7,CH-5000,RUSH
655037,2,9,20,2,34,7,JC-2300,RUSH
655045,2,6,37,3,55,7,MP-0950,INT
655057,2,2,36,3,16,7,ES-0200,REC
655065,2,0,54,2,1,7,VG-0300,REC
655139,4,2,32,2,8,7,KD-0450,RUSH
655152,4,0,40,3,19,7,ES-0200,REC
655155,4,0,35,1,21,7,BR-1050,FUM
655221,2,11,30,1,25,7,TG-0900,REC
655280,3,8,35,3,7,7,GG-0400,REC
655299,3,1,10,1,2,7,CN-0500,RUSH
655324,4,9,2,1,36,7,CB-3850,REC
655333,4,6,38,4,6,7,RM-0300,RUSH
655387,1,4,20,2,2,8,HM-0200,REC
655417,2,8,11,1,2,8,DW-3600,RUSH
655425,2,5,52,1,35,7,DH-2800,REC
655436,2,2,0,2,2,6,DW-3600,RUSH
655489,4,13,22,4,14,7,AB-2000,REC
655497,4,10,32,2,1,7,DW-3600,RUSH
655501,4,9,55,2,75,8,TS-2300,REC
655508,4,7,49,1,7,7,AB-3500,REC
655597,2,1,28,2,11,7,MI-0100,RUSH
655608,2,0,16,1,15,7,VJ-0100,REC
655617,3,13,7,1,1,7,JW-5650,RUSH
655659,4,10,19,3,1,6,AJ-1125,RUSH
655671,4,7,20,1,16,6,WS-0925,REC
655713,1,10,29,2,5,7,KR-1200,REC
655741,2,14,31,4,1,7,TB-2650,RUSH
655779,2,0,42,2,11,7,CJ-1100,REC
655798,3,8,56,1,1,6,ZL-0200,RUSH
655862,4,1,54,2,12,6,EE-0050,REC
655869,1,15,0,0,108,7,DJ-1325,KR
655893,1,3,29,3,48,7,JB-2950,REC
655902,1,1,19,2,6,7,JB-6750,REC
655916,2,10,6,1,1,7,JL-0280,RUSH
655929,2,3,56,3,8,7,LF-0200,REC
655933,2,3,8,2,26,7,TJ-0950,INT
655961,3,12,49,2,28,7,LF-0200,REC
655977,3,6,13,2,13,7,DJ-1325,RUSH
656021,4,2,49,1,9,7,LF-0200,REC
656044,1,10,3,1,2,7,KW-1150,RUSH
656060,1,4,8,3,8,7,JE-0100,REC
656069,1,1,4,2,6,7,DL-1700,RUSH
656079,2,13,18,2,2,7,RG-2200,REC
656104,2,5,20,1,9,7,CC-2100,REC
656165,3,3,32,2,22,7,JE-0100,REC
656188,4,11,48,1,32,6,RW-4050,REC
656206,4,5,32,2,7,6,TT-0500,RUSH
656212,4,4,20,1,24,6,SW-0450,REC
656233,1,12,58,2,16,7,AG-1500,REC
